"H1A_D0" "H1B_D0" "H2_D0" "H3_D0" "H4_D0" "H5A_D0" "H5B_D0" "H6_D0" "C1A_D0" "C1B_D0" "C2A_D0" "C2B_D0" "C3A_D0" "C3B_D0" "C4A_D0" "C4B_D0" "H1A_D1" "H1B_D1" "H2_D1" "H3_D1" "H4_D1" "H5A_D1" "H5B_D1" "H6_D1" "C1A_D1" "C1B_D1" "C2A_D1" "C2B_D1" "C3A_D1" "C3B_D1" "C4A_D1" "C4B_D1" "H1A_D2" "H1B_D2" "H2_D2" "H3_D2" "H4_D2" "H5A_D2" "H5B_D2" "H6_D2" "C1A_D2" "C1B_D2" "C2A_D2" "C2B_D2" "C3A_D2" "C3B_D2" "C4A_D2" "C4B_D2" "H1A_D3" "H1B_D3" "H2_D3" "H3_D3" "H4_D3" "H5A_D3" "H5B_D3" "H6_D3" "C1A_D3" "C1B_D3" "C2A_D3" "C2B_D3" "C3A_D3" "C3B_D3" "C4A_D3" "C4B_D3"
"ENSG00000227008" 1 0 0 0 5 0 1 0 6718 23092 3560 2380 6547 4411 18648 4263 0 0 0 1 0 0 0 1 3828 3336 5048 6263 10839 4000 6621 14053 0 0 1 3 0 0 0 0 4889 3330 5717 4700 7346 3526 4992 5613 0 1 0 2 0 0 0 0 3891 4223 3914 1969 3122 1677 3909 2950
"ENSG00000249921" 0 0 0 0 0 0 0 0 2939 9873 2050 1529 3571 2853 8239 2490 0 0 0 0 0 0 0 0 2595 1803 2317 3619 4846 2624 2809 7073 1 0 0 0 0 0 0 0 2750 2181 2483 2745 3579 1939 2156 3210 0 0 0 0 0 0 0 0 2342 3135 2118 1022 1642 943 1805 1608
"ENSG00000164736" 112 10 15 28 157 28 27 35 286 712 26 12 13 34 64 26 883 453 398 138 369 473 662 41 138 3712 645 2469 1740 530 111 2550 22407 10710 8309 16161 35202 15863 28196 10227 12753 15608 12305 10641 15559 12016 7058 24439 18535 10594 7541 11641 32207 17980 24173 9802 13361 22427 16126 4840 11911 16748 11875 13646
"ENSG00000121966" 42 22 174 53 226 55 69 50 490 187 57 9 141 63 279 37 179 74 79 41 92 129 156 36 314 362 279 237 1268 128 317 388 16927 4146 6205 7784 17180 11475 10501 2496 5242 5653 9445 3191 8363 5094 4099 7658 37418 19566 11564 20457 52852 30627 22978 8951 20541 38214 21135 5102 17469 23438 14506 19447
"ENSG00000110799" 28 9 41 37 118 34 27 31 112 64 22 4 54 17 147 23 45 28 36 26 27 27 33 37 17 42 20 28 48 24 19 87 3142 890 1542 1450 5378 2449 2184 795 2372 4044 6822 2814 10168 4130 2826 8580 8648 3029 2051 5036 14073 5601 6953 3682 6713 8585 9140 2367 9142 9831 10840 8715
"ENSG00000176343" 0 1 0 0 0 0 0 0 1289 6544 1108 786 2088 1277 4550 1136 0 0 0 0 0 0 0 0 1176 773 1317 1926 2970 1229 1776 3391 0 0 0 1 0 1 0 0 1287 871 1524 1367 2180 1008 1346 1418 0 0 0 0 0 0 0 0 1178 1219 1275 644 1106 485 1152 883
"ENSG00000158815" 1003 22 54 49 267 68 81 64 597 443 46 16 39 49 124 57 15531 5245 3966 4847 3980 10456 6822 2191 6613 7287 10375 10930 18894 3125 8661 27698 38136 15536 14500 22242 32654 22198 28313 16270 16792 21205 20509 14531 25701 16400 11908 30586 42133 31528 18197 27309 63925 40089 53333 28119 25578 48224 35917 9079 20105 29215 22548 26547
"ENSG00000234036" 1 0 0 0 0 0 1 0 1306 6866 830 855 1135 1236 3374 1189 1 0 0 0 0 0 2 2 1048 1019 1157 1851 1793 1096 1208 3964 0 1 0 0 0 0 1 1 1642 964 1347 1030 1618 942 1099 1538 0 0 0 3 0 0 1 0 2026 1445 1206 408 888 629 1039 1082
"ENSG00000229807" 1974 645 4 1411 4 4 3 24 3393 2277 6 1 4021 925 15 4 4947 2231 5 2100 3 12 11 25 1890 991 6 1 3064 896 2 8 3668 781 6 1539 4 5 6 19 979 1190 6 4 2368 736 6 4 8197 1836 3 4432 4 6 3 8 1595 4169 8 1 3310 1720 6 1
"ENSG00000163508" 4003 24 72 39 276 77 54 60 623 1802 36 11 42 96 131 64 36794 22584 13062 20676 31730 31917 30991 15800 13405 13545 17936 19012 29571 4988 12807 50154 27392 10548 10077 20511 36696 18745 27285 11669 18465 15590 23003 14071 22581 13984 10383 22601 23539 13242 8850 14086 31917 16352 26081 9218 15998 25034 25299 6992 15782 19302 14585 15702
"ENSG00000104371" 2007 7 15 11 72 15 31 20 97 106 9 10 10 22 24 19 7050 11298 2415 2369 15809 7381 23591 2109 3601 17297 10467 34622 15456 5269 3205 41238 5842 3630 3931 6912 14099 1652 11726 4886 3201 685 456 305 917 1294 1324 482 718 707 2676 1263 2561 877 2555 347 864 130 13 15 20 66 23 37
"ENSG00000147869" 25286 192 2476 358 3913 584 2628 1071 5663 1669 468 277 283 864 983 557 225887 144018 60461 68848 208017 148861 123246 39977 25524 74822 63827 62067 99235 22075 16610 165551 352531 146604 127252 177002 543072 136866 281792 126055 137219 148899 175982 71310 160959 133774 75564 220531 314847 251935 136266 145867 685492 241185 306224 107037 191997 346024 266184 39023 132934 281937 91151 213910
"ENSG00000236811" 1 0 1 1 10 1 4 0 1261 3673 1181 721 1819 1440 4093 1332 4 1 0 2 0 3 2 1 1216 1078 1184 1565 2006 1251 1259 3511 1 1 1 3 0 3 0 0 1425 995 1160 921 1675 904 872 1672 5 0 0 5 1 2 2 1 989 1180 843 304 640 403 682 639
"ENSG00000141448" 674 7 27 24 139 31 25 28 272 532 21 15 18 25 62 22 7411 4006 2450 2977 5878 6723 5831 1497 1856 4713 4984 7338 6134 1095 2752 13783 18340 7549 5944 10014 22927 10131 15028 5485 9597 12429 12276 11397 11282 8131 5483 17149 18294 8612 6031 8823 21019 14678 15448 5551 12620 26238 18522 6645 9012 11482 11820 11921
"ENSG00000135480" 90 23 170 179 304 244 141 63 1644 2798 1049 244 1911 583 5087 532 5 1 7 6 7 5 4 8 256 582 242 623 438 607 299 1715 0 1 3 9 4 1 2 6 2514 3302 2528 1860 4346 2907 1363 5389 6 0 3 5 2 0 5 9 4121 6097 2386 800 2642 2072 2693 4158
"ENSG00000132130" 253 10 28 24 180 25 68 28 210 287 26 4 44 39 101 33 838 1408 474 354 2667 640 2193 247 238 3988 1091 5040 2610 1111 436 9730 19794 6787 5766 12573 22477 13787 19861 8156 5522 8048 7872 4408 11863 10128 4282 14371 14190 9244 6513 10156 19983 11613 20295 6375 9928 10530 9158 1871 7156 7476 5832 6651
"ENSG00000110148" 315 109 131 448 719 669 581 200 572 492 98 31 142 51 235 41 588 253 80 200 264 585 336 208 142 171 216 178 565 79 168 258 14212 5785 2542 4534 8503 4340 7066 2702 5810 13254 14611 13878 15014 7941 5035 15914 19707 12402 4530 8555 18290 21364 20551 9426 18088 51024 32333 12414 22265 26888 21266 19946
"ENSG00000185155" 5074 10 71 50 424 77 79 67 517 713 58 32 58 114 144 75 45066 29664 17148 25062 52902 42267 56345 20031 21352 23845 28187 35171 40761 9379 18778 98534 20912 6604 8713 14251 31578 12414 22693 8569 14285 5646 7431 4199 8777 5224 6427 7877 9360 6455 4760 8103 24030 11948 13880 5414 4546 5187 6108 1173 2268 1906 3019 2837
"ENSG00000249210" 0 0 0 2 0 0 1 0 1316 2232 930 556 1424 1258 3245 1008 0 0 1 3 0 1 0 1 937 697 987 1025 1649 1098 1088 2848 0 0 0 0 0 1 0 1 1117 689 826 727 1296 732 712 1261 0 0 1 5 0 0 0 0 798 786 716 198 496 333 507 519
"ENSG00000185031" 1 0 0 1 4 1 1 0 472 1567 292 187 312 900 647 525 1 2 0 2 1 0 0 0 818 1351 421 535 529 1033 266 4618 0 0 1 1 0 2 0 0 1395 1619 672 128 909 1160 299 2498 1 0 0 3 0 0 3 3 3445 4156 1581 93 1473 1293 1045 2512
"ENSG00000107984" 2208 10 16 12 58 11 16 14 165 256 12 17 14 15 45 16 29247 12410 9780 10825 16808 19800 21405 5020 3207 7184 9101 16270 13467 2235 4669 23726 2158 581 1564 2416 1607 1894 2240 665 1626 854 567 369 654 596 804 412 2440 837 2928 3177 1300 1029 2767 301 771 69 52 16 72 116 31 46
